Date,Open,High,Low,Close,Volume,Date_year,Date_month,Date_day,Date_day_of_week,Open_x_High,Open_x_Low,High_x_Low,Open_scaled,High_scaled,Low_scaled,Close_scaled,Volume_scaled
1995-10-23,0.313616,0.313616,0.310268,0.313616,197803200,1995,10,23,0,0.098354995456,0.097305009088,0.097305009088,-0.6397667634951323,-0.6403874722699708,-0.6394315029143385,-0.639798856844351,-0.446792182658705
1995-10-24,0.316964,0.316964,0.311384,0.313616,213494400,1995,10,24,1,0.10046617729600002,0.098697518176,0.098697518176,-0.6395031531234715,-0.6401263462004113,-0.6393426535940357,-0.639798856844351,-0.380151403766521
1995-10-25,0.314732,0.315848,0.310268,0.310268,133302400,1995,10,25,2,0.09940747273600001,0.097651268176,0.097997527264,-0.6396788933712454,-0.6402133882235977,-0.6394315029143385,-0.6400626194079202,-0.7207281181619797
1995-10-26,0.311384,0.3125,0.308036,0.311384,125865600,1995,10,26,3,0.09730749999999999,0.09591748182399999,0.09626124999999999,-0.6399425037429061,-0.6404745142931573,-0.639609201554944,-0.6399746985533971,-0.7523123274299384
1995-10-27,0.311384,0.311384,0.304688,0.310268,154212800,1995,10,27,4,0.096959995456,0.094874968192,0.094874968192,-0.6399425037429061,-0.6405615563163438,-0.6398757495158522,-0.6400626194079202,-0.6319213128859571
1995-10-30,0.311384,0.314732,0.309152,0.314732,175638400,1995,10,30,0,0.098002509088,0.09626498636799999,0.097300027264,-0.6399425037429061,-0.6403004302467844,-0.6395203522346413,-0.6397109359898279,-0.5409264449196844
1995-10-31,0.314732,0.327009,0.313616,0.324219,289217600,1995,10,31,1,0.102920196588,0.09870499091200001,0.102555254544,-0.6396788933712454,-0.6393428899970885,-0.6391649549534303,-0.638963529944254,-0.05855375487997129
1995-11-01,0.327009,0.331473,0.316964,0.327009,193233600,1995,11,1,2,0.108394654257,0.10365008067600001,0.10506500797200001,-0.638712243271819,-0.6389947219043426,-0.638898406992522,-0.6387437278079462,-0.46619934738961943
1995-11-02,0.329241,0.329241,0.323661,0.327009,152756800,1995,11,2,3,0.108399636081,0.106562471301,0.106562471301,-0.6385365030240452,-0.6391688059507157,-0.6383652314566194,-0.6387437278079462,-0.6381049683149249
1995-11-03,0.328125,0.329241,0.320313,0.325893,179435200,1995,11,3,4,0.108032203125,0.105102703125,0.105460172433,-0.6386243731479321,-0.6391688059507157,-0.6386317794175275,-0.6388316486624692,-0.5248013742241453
1995-11-06,0.325893,0.345982,0.324777,0.340402,311774400,1995,11,6,0,0.112753111926,0.10584255086099999,0.11236699601399999,-0.6388001133957059,-0.637863097608274,-0.6382763821363167,-0.6376885987715415,0.03724533768880716
1995-11-07,0.337054,0.361607,0.334821,0.353795,736388800,1995,11,7,1,0.12188108577800001,0.112852757334,0.12107361734699999,-0.6379213334201665,-0.6366444312890187,-0.6374767382535919,-0.6366334697351367,1.840589527096716
1995-11-08,0.354911,0.366071,0.345982,0.347098,358825600,1995,11,8,2,0.129922624681,0.12279281760199999,0.126653976722,-0.6365153327013057,-0.6362962631962727,-0.6365881654364781,-0.6371610736444028,0.23707254120491356
1995-11-09,0.354911,0.357143,0.347098,0.351563,260108800,1995,11,9,3,0.126753979273,0.123188898278,0.123963621014,-0.6365153327013057,-0.6369925993817646,-0.6364993161161755,-0.6368093114441827,-0.18217929687910495
1995-11-10,0.351563,0.359375,0.347098,0.354911,223115200,1995,11,10,4,0.12634295312500002,0.122026814174,0.12473834375000001,-0.6367789430729663,-0.6368185153353917,-0.6364993161161755,-0.6365455488806135,-0.33929171135511055
1995-11-13,0.359375,0.368304,0.357143,0.364955,317374400,1995,11,13,0,0.13235925,0.12834826562499999,0.131537195472,-0.6361638522057579,-0.6361221011552554,-0.6356995926193645,-0.6357542611899057,0.06102862780022187
1995-11-14,0.366071,0.379464,0.366071,0.370536,407276800,1995,11,14,1,0.138910765944,0.13400797704099998,0.138910765944,-0.6356366314624363,-0.6352516809233905,-0.6349887980569425,-0.6353145781351627,0.44284556724887364
1995-11-15,0.375,0.375,0.358259,0.366071,248136000,1995,11,15,2,0.140625,0.134347125,0.134347125,-0.6349335917346708,-0.6355998490161364,-0.6356107432990616,-0.6356663403353827,-0.2330279711373096
1995-11-16,0.364955,0.370536,0.352679,0.356585,226228800,1995,11,16,3,0.13522896587999997,0.128711964445,0.130680265944,-0.6357245015863233,-0.6359480171088824,-0.6360549899005754,-0.6364136675988289,-0.32606820205316395
1995-11-17,0.357143,0.360491,0.354911,0.358259,128531200,1995,11,17,4,0.128746837213,0.126753979273,0.127942221301,-0.6363395924535317,-0.6367314733122051,-0.63587729125997,-0.6362817863170442,-0.740991481336905
1995-11-20,0.359375,0.359375,0.34375,0.344866,148456000,1995,11,20,0,0.129150390625,0.12353515625,0.12353515625,-0.6361638522057579,-0.6368185153353917,-0.6367658640770837,-0.637336915353449,-0.6563705351204915
1995-11-21,0.345982,0.345982,0.33817,0.344866,191609600,1995,11,21,1,0.119703544324,0.11700073294000002,0.11700073294000002,-0.6372183724290712,-0.637863097608274,-0.6372101106785973,-0.637336915353449,-0.47309650152192967
1995-11-22,0.344866,0.350446,0.34375,0.344866,98806400,1995,11,22,2,0.120856910236,0.1185476875,0.12046581249999999,-0.6373062425529581,-0.637514929515528,-0.6367658640770837,-0.637336915353449,-0.8672331852482943
1995-11-24,0.347098,0.360491,0.345982,0.358817,109950400,1995,11,24,4,0.125125705118,0.12008966023600001,0.12472339716200001,-0.6371305023051842,-0.6367314733122051,-0.6365881654364781,-0.6362378258897827,-0.819904437926579
1995-11-27,0.362723,0.362723,0.351563,0.351563,115875200,1995,11,27,0,0.131567974729,0.127519986049,0.127519986049,-0.6359002418340971,-0.6365573892658322,-0.6361438392208782,-0.6368093114441827,-0.7947417169887022
1995-11-28,0.351563,0.358259,0.350446,0.357143,176288000,1995,11,28,1,0.12595060881700001,0.123203847098,0.125550433514,-0.6367789430729663,-0.6369055573585781,-0.6362327681552672,-0.6363697071715673,-0.5381675832667603
1995-11-29,0.358259,0.358259,0.348214,0.350446,105268800,1995,11,29,2,0.12834951108099998,0.12475079942600001,0.12475079942600001,-0.6362517223296448,-0.6369055573585781,-0.6364104667958727,-0.6368973110808336,-0.8397872684597216
